hour,FR,BE,DE,CH,IT,ES,UK
2015-01-01 00:00:00,0.5899,0.5116,0.703,0,0,0,0.7529
2015-01-01 01:00:00,0.5705,0.5036,0.6875,0,0,0,0.7395
2015-01-01 02:00:00,0.5279,0.5238,0.6535,0,0,0,0.7465
2015-01-01 03:00:00,0.5033,0.5404,0.6803,0,0,0,0.7479
2015-01-01 04:00:00,0.525,0.5181,0.7272,0,0,0,0.734
2015-01-01 05:00:00,0.5091,0.5215,0.749,0,0,0,0.7358
2015-01-01 06:00:00,0.4669,0.5659,0.7706,0,0,0,0.765
2015-01-01 07:00:00,0.4639,0.5989,0.801,0,0,0,0.7949
2015-01-01 08:00:00,0.5913,0.6152,0.7828,0,0,0,0.8393
2015-01-01 09:00:00,0.4844,0.6092,0.7865,0,0,0,0.8721
2015-01-01 10:00:00,0.2256,0.608,0.8097,0,0,0,0.8943
2015-01-01 11:00:00,0.1883,0.6269,0.831,0,0,0,0.9035
2015-01-01 12:00:00,0.212,0.6867,0.8244,0,0,0,0.9165
2015-01-01 13:00:00,0.2701,0.7313,0.8375,0,0,0,0.9302
2015-01-01 14:00:00,0.4128,0.7573,0.8599,0,0,0,0.9428
2015-01-01 15:00:00,0.5981,0.7869,0.8813,0,0,0,0.9477
2015-01-01 16:00:00,0.6921,0.8207,0.9022,0,0,0,0.953
2015-01-01 17:00:00,0.7171,0.8534,0.9295,0,0,0,0.9593
2015-01-01 18:00:00,0.7385,0.8771,0.9531,0,0,0,0.9654
2015-01-01 19:00:00,0.7779,0.8967,0.9654,0,0,0,0.9701
2015-01-01 20:00:00,0.81,0.9094,0.9727,0,0,0,0.9706
2015-01-01 21:00:00,0.8294,0.9222,0.9763,0,0,0,0.9682
2015-01-01 22:00:00,0.8531,0.9329,0.979,0,0,0,0.9634
2015-01-01 23:00:00,0.8543,0.9405,0.9808,0,0,0,0.9639
2015-01-02 00:00:00,0.8451,0.9455,0.9823,0,0,0,0.9649
2015-01-02 01:00:00,0.8416,0.9499,0.9824,0,0,0,0.9625
2015-01-02 02:00:00,0.8381,0.95,0.9819,0,0,0,0.9537
2015-01-02 03:00:00,0.8279,0.9452,0.9846,0,0,0,0.9382
2015-01-02 04:00:00,0.8092,0.9151,0.9851,0,0,0,0.9204
2015-01-02 05:00:00,0.7906,0.8664,0.9851,0,0,0,0.9051
2015-01-02 06:00:00,0.8257,0.8364,0.9856,0,0,0,0.8737
2015-01-02 07:00:00,0.7437,0.7961,0.9849,0,0,0,0.8393
2015-01-02 08:00:00,0.6327,0.7012,0.9844,0,0,0,0.8257
2015-01-02 09:00:00,0.4786,0.6909,0.9822,0,0,0,0.8134
2015-01-02 10:00:00,0.3955,0.7376,0.9811,0,0,0,0.8082
2015-01-02 11:00:00,0.2676,0.7293,0.982,0,0,0,0.8194
2015-01-02 12:00:00,0.1967,0.741,0.9832,0,0,0,0.8343
2015-01-02 13:00:00,0.1099,0.7496,0.9835,0,0,0,0.8417
2015-01-02 14:00:00,0.0539,0.7354,0.9822,0,0,0,0.8262
2015-01-02 15:00:00,0.0392,0.7839,0.9811,0,0,0,0.8007
2015-01-02 16:00:00,0.0662,0.7878,0.9795,0,0,0,0.7378
2015-01-02 17:00:00,0.1394,0.6988,0.9782,0,0,0,0.6669
2015-01-02 18:00:00,0.2021,0.5887,0.9791,0,0,0,0.6263
2015-01-02 19:00:00,0.2676,0.5116,0.9786,0,0,0,0.6191
2015-01-02 20:00:00,0.343,0.4647,0.977,0,0,0,0.6082
2015-01-02 21:00:00,0.3854,0.4107,0.977,0,0,0,0.6109
2015-01-02 22:00:00,0.3403,0.3842,0.9792,0,0,0,0.6108
2015-01-02 23:00:00,0.2777,0.3593,0.9794,0,0,0,0.5922
2015-01-03 00:00:00,0.2854,0.3216,0.9742,0,0,0,0.5869
2015-01-03 01:00:00,0.2564,0.3325,0.9609,0,0,0,0.5784
2015-01-03 02:00:00,0.3683,0.3432,0.9505,0,0,0,0.5561
2015-01-03 03:00:00,0.6544,0.343,0.9499,0,0,0,0.5342
2015-01-03 04:00:00,0.8464,0.3136,0.9573,0,0,0,0.4829
2015-01-03 05:00:00,0.9345,0.2585,0.9618,0,0,0,0.4112
2015-01-03 06:00:00,0.9469,0.2176,0.9619,0,0,0,0.3214
2015-01-03 07:00:00,0.9587,0.2185,0.9602,0,0,0,0.2618
2015-01-03 08:00:00,0.9332,0.2888,0.9554,0,0,0,0.2332
2015-01-03 09:00:00,0.9051,0.3114,0.9461,0,0,0,0.2096
2015-01-03 10:00:00,0.8837,0.3006,0.9233,0,0,0,0.1934
2015-01-03 11:00:00,0.9236,0.297,0.8811,0,0,0,0.1659
2015-01-03 12:00:00,0.9198,0.2205,0.8144,0,0,0,0.1165
2015-01-03 13:00:00,0.915,0.1016,0.7518,0,0,0,0.0975
2015-01-03 14:00:00,0.9087,0.0344,0.7233,0,0,0,0.1216
2015-01-03 15:00:00,0.9015,0.0275,0.7435,0,0,0,0.1579
2015-01-03 16:00:00,0.9047,0.1042,0.7757,0,0,0,0.2575
2015-01-03 17:00:00,0.9121,0.1705,0.8183,0,0,0,0.2978
