hour,FR,BE,DE,CH,IT,ES,UK
2015-01-01 00:00:00,0.1257,0.1346,0.1566,0.1864,0.6364,0.3538,0.6827
2015-01-01 01:00:00,0.1234,0.1372,0.1659,0.1351,0.6489,0.3434,0.6759
2015-01-01 02:00:00,0.124,0.1514,0.1746,0.0966,0.6525,0.3182,0.6666
2015-01-01 03:00:00,0.1302,0.1673,0.1745,0.0753,0.6429,0.2894,0.6562
2015-01-01 04:00:00,0.1398,0.1865,0.1826,0.0626,0.6209,0.2679,0.6532
2015-01-01 05:00:00,0.1366,0.1814,0.1869,0.0548,0.5985,0.2557,0.6397
2015-01-01 06:00:00,0.129,0.1843,0.1999,0.0528,0.5768,0.2482,0.5977
2015-01-01 07:00:00,0.1356,0.2054,0.212,0.0524,0.5148,0.2376,0.5906
2015-01-01 08:00:00,0.1526,0.2824,0.2281,0.0379,0.4888,0.2101,0.6058
2015-01-01 09:00:00,0.1412,0.286,0.2452,0.0129,0.5406,0.1344,0.6658
2015-01-01 10:00:00,0.1261,0.2653,0.2272,0.0052,0.5139,0.0949,0.7377
2015-01-01 11:00:00,0.1378,0.2856,0.2265,0.0029,0.484,0.0964,0.7768
2015-01-01 12:00:00,0.1654,0.331,0.2384,0.0019,0.4715,0.0988,0.8017
2015-01-01 13:00:00,0.1735,0.3871,0.2719,0.006,0.465,0.1004,0.8278
2015-01-01 14:00:00,0.1895,0.4411,0.3264,0.0129,0.4381,0.0968,0.8307
2015-01-01 15:00:00,0.2322,0.5095,0.3656,0.0707,0.4301,0.1003,0.8227
2015-01-01 16:00:00,0.2828,0.5524,0.3828,0.1298,0.4418,0.1183,0.8016
2015-01-01 17:00:00,0.3255,0.5789,0.4049,0.0486,0.4322,0.1359,0.7893
2015-01-01 18:00:00,0.3609,0.6116,0.4376,0.0278,0.4162,0.1515,0.7791
2015-01-01 19:00:00,0.3868,0.6458,0.4792,0.0404,0.3886,0.1668,0.7688
2015-01-01 20:00:00,0.399,0.6711,0.5201,0.0493,0.357,0.1827,0.7703
2015-01-01 21:00:00,0.4043,0.6942,0.5529,0.062,0.3315,0.1983,0.7919
2015-01-01 22:00:00,0.4094,0.7133,0.5842,0.0896,0.3065,0.2118,0.8275
2015-01-01 23:00:00,0.4115,0.7255,0.6113,0.1271,0.2821,0.2223,0.8523
2015-01-02 00:00:00,0.4148,0.7378,0.6391,0.1498,0.2588,0.229,0.8596
2015-01-02 01:00:00,0.4168,0.7472,0.6732,0.1726,0.245,0.2301,0.8578
2015-01-02 02:00:00,0.4231,0.7587,0.71,0.2024,0.2449,0.2301,0.8462
2015-01-02 03:00:00,0.4316,0.7701,0.7425,0.2256,0.2428,0.2317,0.8393
2015-01-02 04:00:00,0.4516,0.7673,0.7704,0.2495,0.2267,0.231,0.8351
2015-01-02 05:00:00,0.4769,0.7482,0.8006,0.276,0.2068,0.2273,0.8332
2015-01-02 06:00:00,0.4651,0.7106,0.8038,0.3126,0.1921,0.2243,0.8303
2015-01-02 07:00:00,0.4377,0.6691,0.7997,0.3437,0.1739,0.2219,0.8227
2015-01-02 08:00:00,0.4004,0.5718,0.7918,0.3584,0.1487,0.2022,0.8035
2015-01-02 09:00:00,0.3479,0.4818,0.7818,0.348,0.1754,0.1347,0.7863
2015-01-02 10:00:00,0.3048,0.4139,0.7643,0.3392,0.1864,0.0849,0.7793
2015-01-02 11:00:00,0.2659,0.401,0.7576,0.3299,0.1895,0.0676,0.7846
2015-01-02 12:00:00,0.2388,0.4271,0.7435,0.3365,0.1998,0.0633,0.7922
2015-01-02 13:00:00,0.2149,0.4491,0.7346,0.3382,0.1977,0.0614,0.7994
2015-01-02 14:00:00,0.2061,0.449,0.7266,0.3186,0.1765,0.0578,0.7766
2015-01-02 15:00:00,0.235,0.4743,0.7328,0.3067,0.1677,0.0643,0.7194
2015-01-02 16:00:00,0.2623,0.4957,0.7368,0.3181,0.1659,0.0812,0.6508
2015-01-02 17:00:00,0.2264,0.4409,0.7401,0.3189,0.1637,0.0953,0.6076
2015-01-02 18:00:00,0.1733,0.3966,0.7363,0.2688,0.1611,0.1077,0.607
2015-01-02 19:00:00,0.136,0.3588,0.7301,0.2382,0.1615,0.1188,0.6156
2015-01-02 20:00:00,0.1119,0.3294,0.7246,0.1658,0.1643,0.1277,0.6321
2015-01-02 21:00:00,0.1038,0.2905,0.7285,0.0931,0.1714,0.1391,0.6538
2015-01-02 22:00:00,0.1082,0.2689,0.7319,0.0741,0.1805,0.1572,0.6587
2015-01-02 23:00:00,0.1203,0.2772,0.7294,0.0619,0.1907,0.1824,0.6519
2015-01-03 00:00:00,0.1335,0.2662,0.713,0.0553,0.1967,0.2084,0.6276
2015-01-03 01:00:00,0.1561,0.2447,0.6784,0.0485,0.2038,0.2267,0.5793
2015-01-03 02:00:00,0.1893,0.2373,0.6293,0.0511,0.2113,0.2429,0.5218
2015-01-03 03:00:00,0.2259,0.2359,0.5751,0.0576,0.2117,0.2514,0.4593
2015-01-03 04:00:00,0.2634,0.2298,0.5138,0.0767,0.217,0.2553,0.3803
2015-01-03 05:00:00,0.2951,0.2124,0.4968,0.1042,0.2396,0.2581,0.3224
2015-01-03 06:00:00,0.3126,0.2317,0.511,0.1541,0.2604,0.2584,0.2871
2015-01-03 07:00:00,0.3426,0.2722,0.5292,0.2455,0.2355,0.2599,0.2357
2015-01-03 08:00:00,0.3737,0.2799,0.541,0.3225,0.1911,0.2429,0.1974
2015-01-03 09:00:00,0.4075,0.2382,0.5326,0.313,0.1881,0.1753,0.1908
2015-01-03 10:00:00,0.4688,0.196,0.5282,0.3511,0.1985,0.1142,0.1973
2015-01-03 11:00:00,0.5454,0.2102,0.5243,0.5119,0.2142,0.1072,0.2013
2015-01-03 12:00:00,0.6088,0.2124,0.5024,0.6806,0.2373,0.1289,0.2061
2015-01-03 13:00:00,0.679,0.1393,0.4624,0.7428,0.2515,0.1399,0.2106
2015-01-03 14:00:00,0.7368,0.1208,0.4233,0.7876,0.2656,0.1329,0.2278
2015-01-03 15:00:00,0.7572,0.1588,0.4013,0.8572,0.3072,0.1359,0.2483
2015-01-03 16:00:00,0.7622,0.2056,0.3807,0.898,0.3458,0.1695,0.261
2015-01-03 17:00:00,0.7292,0.2198,0.3737,0.9008,0.3695,0.195,0.2721
2015-01-03 18:00:00,0.6812,0.2063,0.3761,0.9093,0.4024,0.2094,0.2637
2015-01-03 19:00:00,0.6046,0.1439,0.3781,0.9096,0.4378,0.2166,0.2407
2015-01-03 20:00:00,0.5296,0.106,0.3939,0.8887,0.464,0.2185,0.2196
2015-01-03 21:00:00,0.4497,0.1134,0.4087,0.873,0.4927,0.2223,0.2063
2015-01-03 22:00:00,0.3763,0.1523,0.4467,0.8791,0.532,0.2274,0.2047
2015-01-03 23:00:00,0.3147,0.1908,0.4677,0.8322,0.548,0.2313,0.2093
2015-01-04 00:00:00,0.2677,0.2304,0.4867,0.7358,0.5642,0.2356,0.2161
2015-01-04 01:00:00,0.2322,0.2349,0.4996,0.5829,0.5669,0.2422,0.2192
2015-01-04 02:00:00,0.2041,0.207,0.5051,0.4461,0.5838,0.2474,0.2147
2015-01-04 03:00:00,0.1762,0.1847,0.4899,0.3574,0.5685,0.2471,0.2093
2015-01-04 04:00:00,0.1497,0.201,0.4778,0.2886,0.5399,0.2421,0.2094
2015-01-04 05:00:00,0.128,0.2301,0.4616,0.2242,0.5119,0.2369,0.2134
2015-01-04 06:00:00,0.1112,0.2286,0.4508,0.1422,0.4779,0.2316,0.2228
2015-01-04 07:00:00,0.098,0.2227,0.4521,0.0839,0.4266,0.2242,0.2348
2015-01-04 08:00:00,0.0845,0.2078,0.442,0.0754,0.406,0.1953,0.2455
2015-01-04 09:00:00,0.0719,0.1596,0.4212,0.0945,0.438,0.1356,0.2543
2015-01-04 10:00:00,0.0701,0.117,0.4246,0.1357,0.4879,0.1032,0.2452
2015-01-04 11:00:00,0.0776,0.1108,0.431,0.1631,0.4921,0.1033,0.2433
2015-01-04 12:00:00,0.0806,0.1082,0.4459,0.1774,0.4679,0.1038,0.2568
2015-01-04 13:00:00,0.0787,0.0988,0.4447,0.1733,0.429,0.101,0.2746
2015-01-04 14:00:00,0.0735,0.1115,0.4391,0.1605,0.3655,0.1006,0.2866
2015-01-04 15:00:00,0.0761,0.1355,0.4249,0.1556,0.3632,0.1025,0.3023
2015-01-04 16:00:00,0.0843,0.1392,0.3993,0.1458,0.376,0.1285,0.3148
2015-01-04 17:00:00,0.0958,0.1436,0.3699,0.1279,0.3471,0.1549,0.312
2015-01-04 18:00:00,0.1056,0.1591,0.3401,0.0987,0.3318,0.1623,0.3019
2015-01-04 19:00:00,0.1164,0.1841,0.3091,0.0668,0.3346,0.1603,0.2921
2015-01-04 20:00:00,0.1258,0.2136,0.2732,0.0508,0.3528,0.1538,0.2888
2015-01-04 21:00:00,0.1335,0.2312,0.2536,0.0451,0.3778,0.1391,0.2984
2015-01-04 22:00:00,0.1365,0.2165,0.24,0.0392,0.3946,0.123,0.2984
2015-01-04 23:00:00,0.1328,0.1864,0.2387,0.0418,0.3946,0.1069,0.3003
2015-01-05 00:00:00,0.1239,0.1711,0.2382,0.052,0.4036,0.0934,0.3079
2015-01-05 01:00:00,0.1156,0.1662,0.2533,0.0659,0.4278,0.0834,0.3111
2015-01-05 02:00:00,0.1143,0.1648,0.266,0.0718,0.4429,0.0763,0.3189
2015-01-05 03:00:00,0.1145,0.1556,0.2803,0.07,0.427,0.0742,0.3181
2015-01-05 04:00:00,0.1138,0.1531,0.288,0.0657,0.4318,0.0771,0.3103
2015-01-05 05:00:00,0.1112,0.1643,0.3037,0.061,0.4619,0.0843,0.3125
2015-01-05 06:00:00,0.1059,0.1671,0.3225,0.0567,0.4796,0.0933,0.3287
2015-01-05 07:00:00,0.1003,0.1637,0.3261,0.0525,0.4513,0.1044,0.3347
2015-01-05 08:00:00,0.0903,0.161,0.3308,0.0414,0.4785,0.1055,0.3345
2015-01-05 09:00:00,0.0782,0.1573,0.3291,0.0213,0.5684,0.0771,0.3314
2015-01-05 10:00:00,0.0743,0.1606,0.3147,0.0132,0.5972,0.0606,0.3347
2015-01-05 11:00:00,0.0725,0.1653,0.2892,0.01,0.6047,0.0692,0.3377
2015-01-05 12:00:00,0.0716,0.155,0.2527,0.0086,0.5993,0.0758,0.3392
2015-01-05 13:00:00,0.0692,0.14,0.204,0.0098,0.5849,0.0792,0.3347
2015-01-05 14:00:00,0.067,0.1395,0.1761,0.0137,0.5412,0.0763,0.3422
2015-01-05 15:00:00,0.0823,0.1707,0.1585,0.0166,0.481,0.0759,0.3619
2015-01-05 16:00:00,0.1144,0.196,0.1342,0.0201,0.4339,0.0946,0.3751
2015-01-05 17:00:00,0.1356,0.1951,0.1111,0.0244,0.3901,0.1057,0.3749
2015-01-05 18:00:00,0.1461,0.1846,0.0955,0.0316,0.349,0.1112,0.3754
2015-01-05 19:00:00,0.1484,0.1771,0.0844,0.0346,0.3215,0.1162,0.3627
2015-01-05 20:00:00,0.1444,0.1673,0.0712,0.0352,0.3043,0.1199,0.3612
2015-01-05 21:00:00,0.1365,0.1581,0.0607,0.0373,0.2868,0.1222,0.366
