hour,FR,BE,DE,CH,IT,ES,UK
2015-01-01 00:00:00,0,0,0,0,0,0,0
2015-01-01 01:00:00,0,0,0,0,0,0,0
2015-01-01 02:00:00,0,0,0,0,0,0,0
2015-01-01 03:00:00,0,0,0,0,0,0,0
2015-01-01 04:00:00,0,0,0,0,0,0,0
2015-01-01 05:00:00,0,0,0,0,0,0,0
2015-01-01 06:00:00,0,0,0,0,0.007,0,0
2015-01-01 07:00:00,0.013,0,0.005,0.062,0.144,0.009,0
2015-01-01 08:00:00,0.156,0.042,0.068,0.262,0.321,0.205,0
2015-01-01 09:00:00,0.305,0.194,0.158,0.412,0.444,0.381,0.005
2015-01-01 10:00:00,0.396,0.28,0.222,0.495,0.503,0.501,0.019
2015-01-01 11:00:00,0.428,0.32,0.239,0.522,0.506,0.562,0.028
2015-01-01 12:00:00,0.403,0.282,0.212,0.48,0.459,0.567,0.027
2015-01-01 13:00:00,0.328,0.185,0.133,0.381,0.363,0.52,0.024
2015-01-01 14:00:00,0.211,0.076,0.04,0.214,0.209,0.42,0.014
2015-01-01 15:00:00,0.072,0.005,0,0.029,0.03,0.264,0.001
2015-01-01 16:00:00,0,0,0,0,0,0.068,0
2015-01-01 17:00:00,0,0,0,0,0,0,0
2015-01-01 18:00:00,0,0,0,0,0,0,0
2015-01-01 19:00:00,0,0,0,0,0,0,0
2015-01-01 20:00:00,0,0,0,0,0,0,0
2015-01-01 21:00:00,0,0,0,0,0,0,0
2015-01-01 22:00:00,0,0,0,0,0,0,0
2015-01-01 23:00:00,0,0,0,0,0,0,0
2015-01-02 00:00:00,0,0,0,0,0,0,0
2015-01-02 01:00:00,0,0,0,0,0,0,0
2015-01-02 02:00:00,0,0,0,0,0,0,0
2015-01-02 03:00:00,0,0,0,0,0,0,0
2015-01-02 04:00:00,0,0,0,0,0,0,0
2015-01-02 05:00:00,0,0,0,0,0,0,0
2015-01-02 06:00:00,0,0,0,0,0.009,0,0
2015-01-02 07:00:00,0.011,0,0.006,0.041,0.13,0.009,0
2015-01-02 08:00:00,0.08,0.011,0.036,0.216,0.285,0.174,0.003
2015-01-02 09:00:00,0.14,0.041,0.071,0.36,0.4,0.328,0.059
2015-01-02 10:00:00,0.183,0.069,0.106,0.414,0.468,0.434,0.145
