month,BIOMASS,NUCLEAR,LIGNITE,COAL,GAS,OIL
1,1.0,1.0,1.0,1.030368,1.139644,0.916432
2,1.0,1.0,1.0,0.966574,1.048295,0.965922
3,1.0,1.0,1.0,0.942536,0.982139,0.978233
4,1.0,1.0,1.0,0.913093,0.933069,1.04035
5,1.0,1.0,1.0,0.929308,0.943025,1.083335
6,1.0,1.0,1.0,0.952635,0.924304,1.035978
7,1.0,1.0,1.0,0.998151,0.93261,1.007543
8,1.0,1.0,1.0,1.012659,0.933949,0.968405
9,1.0,1.0,1.0,1.037764,1.02145,1.013524
10,1.0,1.0,1.0,1.08136,1.060928,1.032865
11,1.0,1.0,1.0,1.081004,1.058069,0.984004
12,1.0,1.0,1.0,1.054548,1.022519,0.973407
