hour,FR,BE,DE,CH,IT,ES,UK
2015-01-01 00:00:00,70.929,9.552,43.45475,7.633,23.126,24.382,26.9405
2015-01-01 01:00:00,69.773,9.15175,41.96325,7.654,21.534,22.734,27.1655
2015-01-01 02:00:00,66.417,8.7985,40.61775,7.397,20.219,21.286,24.4715
2015-01-01 03:00:00,64.182,8.567,39.93675,7.34,19.47,20.264,23.003
2015-01-01 04:00:00,63.859,8.4875,39.2725,7.015,19.485,19.905,21.832
2015-01-01 05:00:00,63.921,8.4285,37.85025,7.059,20.349,20.01,21.1835
2015-01-01 06:00:00,64.117,8.1225,38.0985,6.857,20.715,20.377,20.834
2015-01-01 07:00:00,63.861,8.17925,38.7925,6.636,21.092,20.094,21.8905
2015-01-01 08:00:00,64.277,8.3395,41.40625,6.583,22.776,20.637,23.137
2015-01-01 09:00:00,65.1,8.6775,44.2665,6.838,24.243,22.25,25.2055
2015-01-01 10:00:00,65.875,8.89875,47.20625,6.865,25.601,23.547,27.2225
2015-01-01 11:00:00,67.46,9.09225,48.50225,6.614,25.79,24.133,29.0485
2015-01-01 12:00:00,65.706,9.088,47.52775,7.141,24.249,24.713,31.2215
2015-01-01 13:00:00,62.688,8.94025,46.772,7.074,23.416,24.672,32.189
2015-01-01 14:00:00,60.798,8.9195,46.7335,7.118,23.716,23.528,32.1545
2015-01-01 15:00:00,61.111,9.01675,49.11675,7.11,25.405,23.118,32.472
2015-01-01 16:00:00,65.62,9.66425,53.62425,7.358,29.787,23.606,34.101
2015-01-01 17:00:00,69.967,9.91425,54.30525,7.656,30.946,26.447,36.0465
2015-01-01 18:00:00,71.682,9.85225,53.6345,7.774,31.359,28.02,35.515
2015-01-01 19:00:00,70.462,9.57325,51.43575,7.678,30.611,29.014,34.4395
2015-01-01 20:00:00,68.173,9.42175,50.09175,7.444,29.168,29.571,32.5785
2015-01-01 21:00:00,69.188,9.89625,50.16525,7.338,26.859,29.031,30.286
2015-01-01 22:00:00,70.135,10.06175,47.47825,7.429,24.116,26.798,28.9605
2015-01-01 23:00:00,67.584,9.489,44.4605,7.213,21.568,24.298,27.5925
2015-01-02 00:00:00,65.51,9.0015,42.6705,7.079,19.764,21.881,25.117
2015-01-02 01:00:00,64.522,8.57125,41.7355,7.054,18.755,20.495,24.3905
2015-01-02 02:00:00,61.798,8.321,41.65675,7.194,18.412,19.73,22.7445
2015-01-02 03:00:00,60.686,8.27675,42.4685,7.121,18.558,19.5,22.411
2015-01-02 04:00:00,62.06,8.51675,43.86375,6.982,19.81,20.113,21.485
2015-01-02 05:00:00,64.662,8.99975,46.31875,6.792,22.878,22.153,21.8425
2015-01-02 06:00:00,66.982,9.2265,50.57925,6.795,26.19,24.8229954494995,23.926
2015-01-02 07:00:00,68.828,9.76875,54.58325,6.717,29.053,27.7114046707022,26.2325
2015-01-02 08:00:00,70.472,10.2435,57.71325,6.854,31.535,30.7822124303216,28.3125
2015-01-02 09:00:00,71.681,10.5565,59.73075,7.128,31.804,32.383,30.917
2015-01-02 10:00:00,72.248,10.78075,61.3115,7.226,31.496,32.358,32.7895
2015-01-02 11:00:00,73.443,10.77,61.50375,7.134,30.827,31.5549033149509,33.8855
2015-01-02 12:00:00,71.451,10.60575,60.4805,7.52,29.624,31.411664711914,34.2855
2015-01-02 13:00:00,69.123,10.32,59.25425,7.457,30.125,30.8242930604919,33.966
2015-01-02 14:00:00,66.628,10.2255,58.5525,7.325,31.251,29.9561900900642,33.7125
2015-01-02 15:00:00,66.234,10.3945,59.91025,7.293,33.396,29.4307874506241,34.2115
2015-01-02 16:00:00,69.985,11.21175,62.96025,7.519,38.291,29.3989270517149,36.477
2015-01-02 17:00:00,73.818,11.429,63.25875,8.018,38.662,31.6940323553565,40.3975
