hour,NL,DK1,DK2,SE4,PL,CZ,AT,GR,SI,PT,IE
2015-01-01 00:00:00,22.39,18.29,18.29,23.37,24.2,24.2,88.2,48.78,23.25,48.1,31.91
2015-01-01 01:00:00,20.59,16.04,16.04,19.33,22.06,22.06,65.08,31.1,22.2,47.33,31.91
2015-01-01 02:00:00,16.81,14.6,14.6,17.66,20.27,20.27,46.82,20.78,19.56,42.27,31.91
2015-01-01 03:00:00,17.41,14.95,14.95,17.53,19.17,19.17,22.6,25.4,18.88,38.41,31.91
2015-01-01 04:00:00,17.02,14.5,14.5,18.07,17.9,17.9,31.06,26,18.39,35.72,31.91
2015-01-01 05:00:00,15.86,10.76,10.76,25.23,17.29,17.29,3.44,26,18.98,35.13,31.91
2015-01-01 06:00:00,18.16,12.01,12.01,26.8,17.39,17.39,11.8,38,23.56,36.22,31.91
2015-01-01 07:00:00,17.73,12.39,12.39,26.97,15.84,15.84,27.42,33,24.33,32.4,29.57
2015-01-01 08:00:00,19.77,14.04,14.04,26.29,18.55,18.55,36.6,40.8,26,36.6,29.57
2015-01-01 09:00:00,23.75,14.68,14.68,26.06,21.97,21.97,40.8,51.29,30,43.1,29.57
2015-01-01 10:00:00,26.03,16.08,16.08,25.56,23.94,23.94,40.5,52.01,33.86,45.14,33.09
2015-01-01 11:00:00,27.06,16.08,16.08,25.91,24.87,24.87,62.82,52.18,34,45.14,33.27
2015-01-01 12:00:00,26.59,16.05,25.42,25.42,24,24,59.26,32,32.75,47.35,42.24
2015-01-01 13:00:00,25,16.04,26.78,26.78,23.4,23.4,43.44,32,30,47.35,34.91
2015-01-01 14:00:00,27.04,16.1,27.51,27.51,23.3,23.3,26.08,49.44,32.49,43.61,32.48
2015-01-01 15:00:00,34.46,23.93,28.32,28.32,25.9,25.9,12.16,51.3,34.1,44.91,30.98
2015-01-01 16:00:00,45.14,26.9,28.36,28.36,30.5,30.5,35.58,53.04,42.88,48.1,34.36
2015-01-01 17:00:00,40,26.36,28.18,28.18,29.17,29.17,69.9,49,45.66,58.02,72.43
2015-01-01 18:00:00,35.34,23.98,27.81,27.81,27.09,27.09,86.56,51.33,43,61.01,94.07
2015-01-01 19:00:00,33.07,16.09,16.09,27.46,22.2,22.2,83.72,56.03,41.98,62.69,69.06
2015-01-01 20:00:00,29.52,14.08,14.08,27.06,18,18,72,63.48,39,60.41,68.8
2015-01-01 21:00:00,30.1,12.44,12.44,26.4,16.7,16.7,78.92,53,35.35,58.15,105
2015-01-01 22:00:00,24.57,0.04,0.04,18.36,10.7,10.7,67.7,52.56,29.9,53.6,68.78
2015-01-01 23:00:00,22.2,-12.11,-12.11,17.78,0.01,0.01,48.4,52.42,40,47.34,72.55
2015-01-02 00:00:00,16.57,-19.63,-19.63,9.62,-0.3,-0.3,36,49.8,38.18,40.4,138.97
2015-01-02 01:00:00,15.35,-19.37,-19.37,7.67,-3.5,-3.5,23.26,48.52,33.26,36,74.78
2015-01-02 02:00:00,12.77,-31.41,-31.41,10.83,-4.2,-4.2,-4.42,31,26.3,37,72.99
2015-01-02 03:00:00,11.27,-31.41,-31.41,23.14,-3.26,-3.26,-27.8,30,25,35.99,78.79
2015-01-02 04:00:00,11.91,-13.48,-13.48,26.1,-0.2,-0.2,-40,49.8,38.85,37.98,84.79
2015-01-02 05:00:00,12.62,0.08,0.08,27.25,1.8,1.8,-60.9,54.35,32,43.61,84.79
2015-01-02 06:00:00,15.27,10.06,28.37,28.37,8.7,8.7,-27.96,63.98,56.15,56.1,26.37
2015-01-02 07:00:00,22.34,14.25,28.37,28.37,13.15,13.15,28.66,67,59.61,57.69,35.06
2015-01-02 08:00:00,27.44,14.56,28.32,28.32,17.2,17.2,36,67,42.85,60.01,35.86
2015-01-02 09:00:00,37,14.64,28.3,28.3,19,19,40.94,67,39.39,62.25,41.07
2015-01-02 10:00:00,38,15.08,28.39,28.39,19.15,19.15,33.82,62,45,60.01,40.56
2015-01-02 11:00:00,46.68,15.41,28.3,28.3,20,20,62.92,54.34,45,59.97,71.7
2015-01-02 12:00:00,42.44,14.52,28.24,28.24,20,20,55.38,54.35,41.95,59.69,68
2015-01-02 13:00:00,34.94,14.7,28.12,28.12,20.5,20.5,49.54,63.98,39.2,58.69,42.29
2015-01-02 14:00:00,29,14.66,28.23,28.23,20.5,20.5,32,65.01,40,58.13,41.05
2015-01-02 15:00:00,32,16.09,28.59,28.59,23,23,16,68.65,48.23,59,40.56
2015-01-02 16:00:00,45,25.1,28.73,28.73,26,26,56.12,75,62.93,59.69,67.55
2015-01-02 17:00:00,44.65,25.06,28.48,28.48,25.5,25.5,71.02,64.81,65,63.76,255.6
2015-01-02 18:00:00,39,18.34,28.38,28.38,23,23,82,76,57,65.01,64.63
2015-01-02 19:00:00,35,14.26,15,27.85,17.2,17.2,90,81.5,54,65.01,67.86
2015-01-02 20:00:00,27.54,12.22,12.22,27.45,14,14,58.86,66,51,61.75,50.22
2015-01-02 21:00:00,32.18,8,10.4,27.2,11.65,11.65,67.1,64.74,51.75,59.96,43.04
2015-01-02 22:00:00,30.12,-0.33,-0.33,25.94,5,5,57.78,76.93,51.6,58.69,40.53
2015-01-02 23:00:00,21.39,-0.08,-0.08,17.57,0.59,0.59,28.02,53.01,37,52.1,40.11
2015-01-03 00:00:00,18.91,-0.07,-0.07,16.87,-0.7,-0.7,17,52.99,31.77,47.84,30.87
2015-01-03 01:00:00,19.07,-5.03,-5.03,5.75,-2,-2,2.9,52.1,24.09,43.66,30.87
2015-01-03 02:00:00,16.1,0.01,0.01,5.09,-1.06,-1.06,0.13,48.87,21.74,43.66,30.86
2015-01-03 03:00:00,13.97,-0.04,-0.04,7.64,0.25,0.25,0.19,52.07,21.9,41.98,30.59
2015-01-03 04:00:00,15.37,0.03,0.03,23.85,0.99,0.99,-1.73,53.12,35,43.93,25.66
2015-01-03 05:00:00,15.47,-8.67,-8.67,22.92,5.26,5.26,-6,75.91,36,46.02,25.66
2015-01-03 06:00:00,16.04,4.46,4.46,26.75,11.84,11.84,-0.17,75.75,45,50.92,49.07
2015-01-03 07:00:00,18.44,9.9,9.9,26.98,15.3,15.3,3.27,76.41,59.61,55.57,38.69
2015-01-03 08:00:00,23.1,14.29,14.29,27.52,19.05,19.05,10,75.75,46,58.1,38.69
2015-01-03 09:00:00,32.44,16.73,16.73,27.72,22.37,22.37,16,63.35,47.6,59.8,38.69
2015-01-03 10:00:00,34.11,22.31,22.31,27.73,23.59,23.59,18,63,52.89,59.51,41.73
2015-01-03 11:00:00,33.79,23.03,23.03,27.66,24.22,24.22,24.28,53.19,50.99,59,42.12
