month,BE,CH,DE,ES,FR,IT,UK
201501,0.774598624,0.426529153,0.369114266,0.533795855,0.5344572,0.268749292,0.426529153
201502,0.775905963,0.327072696,0.354700397,0.155273575,0.458318228,0.339998584,0.327072696
201503,0.747144495,0.377812369,0.351728791,0.323309845,0.507605237,0.328605606,0.377812369
201504,0.690928899,0.329191937,0.379482268,0.315300518,0.402537764,0.219447197,0.329191937
201505,0.679816514,0.254099013,0.272437349,0.03246114,0.469299094,0.242198471,0.254099013
201506,0.770676606,0.243414903,0.270767473,0.14617513,0.444318228,0.112398783,0.243414903
201507,0.756295872,0.288342522,0.26785665,0.271706736,0.435500504,0.1783062,0.288342522
201508,0.750412844,0.327471076,0.287053541,0.43421658,0.442058409,0.146555776,0.327471076
201509,0.748451835,0.306489783,0.326493131,0.381470466,0.343499496,0.174496036,0.306489783
201510,0.753027523,0.35902283,0.349915364,0.448406218,0.396074522,0.241695215,0.35902283
201511,0.765447248,0.419576136,0.326585527,0.53677513,0.481111782,0.333832106,0.419576136
201512,0.757603211,0.470316322,0.337701891,0.643906736,0.547536757,0.352119904,0.470316322
201601,0.78440367,0.418205602,0.353799718,0.515816199,0.5344572,0.268749292,0.418205602
201602,0.757603211,0.382961884,0.353434303,0.389006794,0.449407855,0.339998584,0.382961884
201603,0.753027523,0.332980611,0.336138062,0.264852494,0.402326284,0.328605606,0.332980611
201604,0.750412844,0.223219932,0.350179762,0,0.323252769,0.219447197,0.223219932
201605,0.705963303,0.354176396,0.353430423,0.33979975,0.481276939,0.242198471,0.354176396
201606,0.751720183,0.295579792,0.342637516,0.397373503,0.329909366,0.112398783,0.295579792
201607,0.761525229,0.295978492,0.289137976,0.371819238,0.344650554,0.1783062,0.295978492
201608,0.366055046,0.312899356,0.306208472,0.376263186,0.42256999,0.146555776,0.312899356
201609,0.647786697,0.263931925,0.281912432,0.165342392,0.433976838,0.174496036,0.263931925
201610,0.660206422,0.376097162,0.326493419,0.480210084,0.45598993,0.241695215,0.376097162
201611,0.786364679,0.416421828,0.367021353,0.536512605,0.428321249,0.333832106,0.416421828
201612,0.720997706,0.423349059,0.363336159,0.54310835,0.434831823,0.352119904,0.423349059
201701,0.762832569,0.443063332,0.427534433,0.617175376,0.498480363,0.229063155,0.443063332
201702,0.734071101,0.460605882,0.399776675,0.587302923,0.542662638,0.312681291,0.460605882
201703,0.751720183,0.399713689,0.351919271,0.4190124,0.520987915,0.306935168,0.399713689
201704,0.634059633,0.443060569,0.409670705,0.448045173,0.561599194,0.352927204,0.443060569
201705,0.724266055,0.380915029,0.351461238,0.414859167,0.515394763,0.241944949,0.380915029
201706,0.726227064,0.30502088,0.3710278,0.335965456,0.367893253,0.14519701,0.30502088
201707,0.727534404,0.248825123,0.289149567,0.185674048,0.408053374,0.112423501,0.248825123
201708,0.676548165,0.320922404,0.344453986,0.314832595,0.444449144,0.179953891,0.320922404
201709,0.729495413,0.380321764,0.374836828,0.449908769,0.431326284,0.265215174,0.380321764
201710,0.673279817,0.381601384,0.343185996,0.380445527,0.551459215,0.251314797,0.381601384
201711,0.725573394,0.448242654,0.364445132,0.599204606,0.539691843,0.289629035,0.448242654
201712,0.738646789,0.447869063,0.389267905,0.572364039,0.551770393,0.278073914,0.447869063
201801,0.751066514,0.400845735,0.426489403,0.449130204,0.38861255,0.339150783,0.400845735
201802,0.733417431,0.381216988,0.386125953,0.348689105,0.498968127,0.291084767,0.381216988
201803,0.730149083,0.334411418,0.369992711,0.215482728,0.387047809,0.365122424,0.334411418
201804,0.732763761,0.334094364,0.397121692,0.15455093,0.369215139,0.415489695,0.334094364
201805,0.709885321,0.297260692,0.40984834,0.287494243,0.31176992,0.179930265,0.297260692
201806,0.671972477,0.211981691,0.473896333,0,0.230721116,0.143309313,0.211981691
201807,0.702694954,0.229433857,0.45157981,0.09289194,0.285157371,0.088106307,0.229433857
201808,0.442534404,0.29850455,0.491548974,0.125875996,0.382464143,0.194129087,0.29850455
201809,0.606605505,0.300748609,0.466943821,0.151466785,0.511527888,0.073055943,0.300748609
201810,0.720997706,0.418733986,0.50112357,0.451593446,0.548202191,0.174016736,0.418733986
201811,0.744529817,0.40981452,0.49968771,0.428804252,0.43985259,0.270913529,0.40981452
201812,0.730149083,0.416558005,0.600415872,0.275511072,0.507155378,0.283149698,0.416558005
201901,0.734724771,0.450833648,0.573134419,0.45364039,0.494574701,0.281985081,0.450833648
201902,0.706616972,0.401951804,0.548102844,0.37589814,0.447918327,0.235887906,0.401951804
201903,0.749105505,0.431728738,0.562399172,0.499003543,0.46436753,0.201144706,0.431728738
201904,0.702694954,0.369242717,0.563469009,0.331752879,0.341801793,0.239947188,0.369242717
201905,0.615756881,0.339818103,0.55344274,0.217345438,0.424535857,0.163948376,0.339818103
201906,0.632098624,0.28394416,0.488443669,0.197994686,0.279901394,0.169436889,0.28394416
201907,0.626869266,0.277954219,0.454317555,0.237893711,0.370463147,0.049142461,0.277954219
201908,0.45037844,0.284849949,0.425298238,0.232806909,0.438197211,0.043097439,0.284849949
201909,0.424885321,0.352294057,0.406370463,0.362393268,0.408449203,0.231963295,0.352294057
201910,0.659552752,0.361622767,0.418409043,0.379224092,0.380056773,0.268801162,0.361622767
201911,0.701387615,0.429835127,0.464726305,0.559641275,0.478919323,0.216053604,0.429835127
201912,0.731456422,0.314287185,0.510453991,0.125307352,0.404844622,0.216542778,0.314287185
202001,0.745183486,0.383549745,0.511674406,0.268205492,0.572050797,0.182268286,0.383549745
202002,0.726880734,0.422451208,0.512286006,0.482011515,0.467667331,0.227839979,0.422451208
202003,0.738646789,0.406257715,0.519191918,0.48064659,0.351803785,0.273388566,0.406257715
202004,0.705963303,0.488737863,0.516533645,0.509483614,0.529092629,0.399841563,0.488737863
202005,0.752373853,0.384472077,0.498404665,0.396835252,0.3887251,0.25392329,0.384472077
202006,0.725573394,0.27203361,0.470625398,0.330937998,0.173842629,0.112728413,0.27203361
202007,0.727534404,0.313662803,0.482889116,0.384240921,0.226599602,0.160921574,0.313662803
202008,0.684392202,0.346934035,0.487700196,0.407224092,0.354021912,0.138789939,0.346934035
202009,0.698119266,0.35232525,0.458563999,0.340982285,0.396982072,0.212772643,0.35232525
202010,0.574575688,0.368141729,0.4490493,0.422548273,0.386120518,0.214848825,0.368141729
202011,0.679162844,0.449761577,0.512260932,0.533549159,0.538718127,0.214518088,0.449761577
202012,0.788325688,0.415385878,0.454064689,0.474746678,0.494733068,0.237999076,0.415385878
202101,0.726880734,0.375219223,0.476465321,0.435086802,0.447461155,0.141863612,0.375219223
202102,0.722958716,0.25705535,0.414286643,0.045217006,0.382630478,0.186087272,0.25705535
202103,0.738646789,0.361845033,0.455716408,0.334,0.464148406,0.193515316,0.361845033
202104,0.752373853,0.452517639,0.530584536,0.391642161,0.482883466,0.404960391,0.452517639
202105,0.080401376,0.345845629,0.346669364,0.449630647,0.234952191,0.352130314,0.345845629
202106,0.080401376,0.263806426,0.350573525,0.37215589,0.171065737,0.161430552,0.263806426
202107,0.625561927,0.287033656,0.351008146,0.450855624,0.226885458,0.119385397,0.287033656
202108,0.619678899,0.256602476,0.322405275,0.244800709,0.298533865,0.160670055,0.256602476
202109,0.597454128,0.34493008,0.397733496,0.379930027,0.322060757,0.279996039,0.34493008
202110,0.607259174,0.377314648,0.405766292,0.460660762,0.449115538,0.193716002,0.377314648
202111,0.741261468,0.477937309,0.461973838,0.447877768,0.637162351,0.364735279,0.477937309
202112,0.762178899,0.492538429,0.479156628,0.407934455,0.67326992,0.409792712,0.492538429
